Trial,Subject,Condition,Partner,ChoiceType,ChoiceRT,Outcome,PartnerChoice,PreviousPlayerChoice,PreviousPartnerCHoice,Previous Outcome,First Partner within Session,SessionOrder1,SessionOrder2
12,106,SD,ANTI,0,1447,3,0,0,0,3,PRO,2,SD
13,106,SD,ANTI,0,1336,3,0,0,0,3,PRO,2,SD
14,106,SD,ANTI,0,521,3,0,0,0,3,PRO,2,SD
15,106,SD,ANTI,0,719,3,0,0,0,3,PRO,2,SD
16,106,SD,ANTI,0,1591,3,0,0,0,3,PRO,2,SD
1,107,SR,PRO,1,2021,1,0,NaN,NaN,NaN,ANTI,2,SD
2,107,SR,PRO,1,2478,1,0,1,0,1,ANTI,2,SD
3,107,SR,PRO,0,1441,4,1,1,0,1,ANTI,2,SD
4,107,SR,PRO,1,2021,1,0,0,1,4,ANTI,2,SD
5,107,SR,PRO,0,425,3,0,1,0,1,ANTI,2,SD
6,107,SR,PRO,0,655,3,0,0,0,3,ANTI,2,SD
7,107,SR,PRO,0,254,3,0,0,0,3,ANTI,2,SD
8,107,SR,PRO,0,276,3,0,0,0,3,ANTI,2,SD
9,107,SR,PRO,0,681,3,0,0,0,3,ANTI,2,SD
10,107,SR,PRO,0,330,3,0,0,0,3,ANTI,2,SD
11,107,SR,PRO,0,264,3,0,0,0,3,ANTI,2,SD
12,107,SR,PRO,0,765,3,0,0,0,3,ANTI,2,SD
13,107,SR,PRO,0,449,3,0,0,0,3,ANTI,2,SD
14,107,SR,PRO,0,1889,3,0,0,0,3,ANTI,2,SD
15,107,SR,PRO,0,793,3,0,0,0,3,ANTI,2,SD
16,107,SR,PRO,0,299,3,0,0,0,3,ANTI,2,SD
1,107,SR,ANTI,0,1208,4,1,NaN,NaN,NaN,ANTI,2,SD
2,107,SR,ANTI,0,343,3,0,0,1,4,ANTI,2,SD
3,107,SR,ANTI,0,369,3,0,0,0,3,ANTI,2,SD
4,107,SR,ANTI,0,478,3,0,0,0,3,ANTI,2,SD
5,107,SR,ANTI,0,3267,3,0,0,0,3,ANTI,2,SD
6,107,SR,ANTI,0,859,3,0,0,0,3,ANTI,2,SD
7,107,SR,ANTI,0,428,3,0,0,0,3,ANTI,2,SD
8,107,SR,ANTI,0,352,3,0,0,0,3,ANTI,2,SD
9,107,SR,ANTI,0,798,3,0,0,0,3,ANTI,2,SD
10,107,SR,ANTI,0,1281,3,0,0,0,3,ANTI,2,SD
11,107,SR,ANTI,0,499,3,0,0,0,3,ANTI,2,SD
12,107,SR,ANTI,0,782,3,0,0,0,3,ANTI,2,SD
13,107,SR,ANTI,0,890,3,0,0,0,3,ANTI,2,SD
14,107,SR,ANTI,0,881,3,0,0,0,3,ANTI,2,SD
15,107,SR,ANTI,0,1181,3,0,0,0,3,ANTI,2,SD
16,107,SR,ANTI,0,768,3,0,0,0,3,ANTI,2,SD
1,107,SD,PRO,0,4384,3,0,NaN,NaN,NaN,PRO,2,SD
2,107,SD,PRO,1,4586,1,0,0,0,3,PRO,2,SD
3,107,SD,PRO,0,2738,3,0,1,0,1,PRO,2,SD
4,107,SD,PRO,1,4987,1,0,0,0,3,PRO,2,SD
5,107,SD,PRO,0,1848,3,0,1,0,1,PRO,2,SD
6,107,SD,PRO,0,3061,3,0,0,0,3,PRO,2,SD
7,107,SD,PRO,1,3723,1,0,0,0,3,PRO,2,SD
8,107,SD,PRO,1,718,1,0,1,0,1,PRO,2,SD
9,107,SD,PRO,1,3178,2,1,1,0,1,PRO,2,SD
10,107,SD,PRO,1,1553,1,0,1,1,2,PRO,2,SD
11,107,SD,PRO,0,1365,4,1,1,0,1,PRO,2,SD
12,107,SD,PRO,1,2878,1,0,0,1,4,PRO,2,SD
13,107,SD,PRO,1,1255,1,0,1,0,1,PRO,2,SD
14,107,SD,PRO,0,1836,4,1,1,0,1,PRO,2,SD
15,107,SD,PRO,0,495,3,0,0,1,4,PRO,2,SD
16,107,SD,PRO,1,631,1,0,0,0,3,PRO,2,SD
1,107,SD,ANTI,1,3839,2,1,NaN,NaN,NaN,PRO,2,SD
2,107,SD,ANTI,1,4018,2,1,1,1,2,PRO,2,SD
3,107,SD,ANTI,1,4218,2,1,1,1,2,PRO,2,SD
4,107,SD,ANTI,0,3771,4,1,1,1,2,PRO,2,SD
5,107,SD,ANTI,0,2102,3,0,0,1,4,PRO,2,SD
6,107,SD,ANTI,0,2901,3,0,0,0,3,PRO,2,SD
7,107,SD,ANTI,0,996,3,0,0,0,3,PRO,2,SD
8,107,SD,ANTI,1,823,1,0,0,0,3,PRO,2,SD
9,107,SD,ANTI,1,2233,1,0,1,0,1,PRO,2,SD
10,107,SD,ANTI,0,2419,4,1,1,0,1,PRO,2,SD
11,107,SD,ANTI,0,2961,3,0,0,1,4,PRO,2,SD
12,107,SD,ANTI,1,2709,1,0,0,0,3,PRO,2,SD
13,107,SD,ANTI,0,1150,4,1,1,0,1,PRO,2,SD
14,107,SD,ANTI,0,2801,3,0,0,1,4,PRO,2,SD
15,107,SD,ANTI,0,3425,3,0,0,0,3,PRO,2,SD
16,107,SD,ANTI,0,1689,1,0,0,0,3,PRO,2,SD
1,108,SR,PRO,1,2032,1,0,NaN,NaN,NaN,PRO,2,SD
2,108,SR,PRO,1,495,1,0,1,0,1,PRO,2,SD
3,108,SR,PRO,0,489,4,1,1,0,1,PRO,2,SD
4,108,SR,PRO,1,596,1,0,0,1,4,PRO,2,SD
5,108,SR,PRO,0,475,3,0,1,0,1,PRO,2,SD
6,108,SR,PRO,1,682,1,0,0,0,3,PRO,2,SD
7,108,SR,PRO,0,706,4,1,1,0,1,PRO,2,SD
8,108,SR,PRO,1,670,1,0,0,1,4,PRO,2,SD
9,108,SR,PRO,1,672,1,0,1,0,1,PRO,2,SD
10,108,SR,PRO,1,1121,2,1,1,0,1,PRO,2,SD
11,108,SR,PRO,0,343,3,0,1,1,2,PRO,2,SD
12,108,SR,PRO,1,312,1,0,0,0,3,PRO,2,SD
13,108,SR,PRO,1,537,2,1,1,0,1,PRO,2,SD
14,108,SR,PRO,1,315,1,0,1,1,2,PRO,2,SD
15,108,SR,PRO,1,525,1,0,1,0,1,PRO,2,SD
16,108,SR,PRO,1,508,2,1,1,0,1,PRO,2,SD
1,108,SR,ANTI,1,833,2,1,NaN,NaN,NaN,PRO,2,SD
2,108,SR,ANTI,0,413,4,1,1,1,2,PRO,2,SD
3,108,SR,ANTI,1,715,1,0,0,1,4,PRO,2,SD
4,108,SR,ANTI,0,609,4,1,1,0,1,PRO,2,SD
5,108,SR,ANTI,1,681,1,0,0,1,4,PRO,2,SD
6,108,SR,ANTI,1,292,2,1,1,0,1,PRO,2,SD
7,108,SR,ANTI,1,376,2,1,1,1,2,PRO,2,SD
8,108,SR,ANTI,1,510,2,1,1,1,2,PRO,2,SD
9,108,SR,ANTI,0,2453,3,0,1,1,2,PRO,2,SD
10,108,SR,ANTI,1,370,1,0,0,0,3,PRO,2,SD
11,108,SR,ANTI,1,459,2,1,1,0,1,PRO,2,SD
12,108,SR,ANTI,1,386,1,0,1,1,2,PRO,2,SD
13,108,SR,ANTI,1,317,2,1,1,0,1,PRO,2,SD
14,108,SR,ANTI,1,354,2,1,1,1,2,PRO,2,SD
15,108,SR,ANTI,1,1544,1,0,1,1,2,PRO,2,SD
16,108,SR,ANTI,1,472,1,0,1,0,1,PRO,2,SD
1,108,SD,PRO,0,1603,3,0,NaN,NaN,NaN,PRO,2,SD
2,108,SD,PRO,0,1042,3,0,0,0,3,PRO,2,SD
3,108,SD,PRO,1,2572,1,0,0,0,3,PRO,2,SD
4,108,SD,PRO,0,673,4,1,1,0,1,PRO,2,SD
5,108,SD,PRO,0,895,3,0,0,1,4,PRO,2,SD
6,108,SD,PRO,1,994,1,0,0,0,3,PRO,2,SD
7,108,SD,PRO,0,860,4,1,1,0,1,PRO,2,SD
8,108,SD,PRO,1,874,1,0,0,1,4,PRO,2,SD
9,108,SD,PRO,0,403,4,1,1,0,1,PRO,2,SD
10,108,SD,PRO,0,2160,3,0,0,1,4,PRO,2,SD
11,108,SD,PRO,0,1959,3,0,0,0,3,PRO,2,SD
12,108,SD,PRO,0,772,3,0,0,0,3,PRO,2,SD
13,108,SD,PRO,1,2158,1,0,0,0,3,PRO,2,SD
14,108,SD,PRO,0,905,4,1,1,0,1,PRO,2,SD
15,108,SD,PRO,0,438,3,0,0,1,4,PRO,2,SD
16,108,SD,PRO,0,423,3,0,0,0,3,PRO,2,SD
1,108,SD,ANTI,1,2779,2,1,NaN,NaN,NaN,PRO,2,SD
2,108,SD,ANTI,1,2250,2,1,1,1,2,PRO,2,SD
3,108,SD,ANTI,1,1690,2,1,1,1,2,PRO,2,SD
4,108,SD,ANTI,0,1419,4,1,1,1,2,PRO,2,SD
5,108,SD,ANTI,0,1380,3,0,0,1,4,PRO,2,SD
6,108,SD,ANTI,0,1559,3,0,0,0,3,PRO,2,SD
7,108,SD,ANTI,0,1779,3,0,0,0,3,PRO,2,SD
8,108,SD,ANTI,1,1695,1,0,0,0,3,PRO,2,SD
9,108,SD,ANTI,1,1810,1,0,1,0,1,PRO,2,SD
10,108,SD,ANTI,0,1466,4,1,1,0,1,PRO,2,SD
11,108,SD,ANTI,0,1222,3,0,0,1,4,PRO,2,SD
12,108,SD,ANTI,1,1444,1,0,0,0,3,PRO,2,SD
13,108,SD,ANTI,0,1329,4,1,1,0,1,PRO,2,SD
14,108,SD,ANTI,1,1932,1,0,0,1,4,PRO,2,SD
15,108,SD,ANTI,0,1455,3,0,1,0,1,PRO,2,SD
16,108,SD,ANTI,0,2561,1,0,0,0,3,PRO,2,SD
1,109,SR,PRO,0,792,3,0,NaN,NaN,NaN,ANTI,2,SD
2,109,SR,PRO,0,1243,3,0,0,0,3,ANTI,2,SD
3,109,SR,PRO,0,1067,3,0,0,0,3,ANTI,2,SD
4,109,SR,PRO,0,1035,3,0,0,0,3,ANTI,2,SD
5,109,SR,PRO,0,550,3,0,0,0,3,ANTI,2,SD
6,109,SR,PRO,0,817,3,0,0,0,3,ANTI,2,SD
7,109,SR,PRO,0,545,3,0,0,0,3,ANTI,2,SD
8,109,SR,PRO,0,642,3,0,0,0,3,ANTI,2,SD
9,109,SR,PRO,0,835,3,0,0,0,3,ANTI,2,SD
10,109,SR,PRO,0,1291,3,0,0,0,3,ANTI,2,SD
11,109,SR,PRO,0,876,3,0,0,0,3,ANTI,2,SD
12,109,SR,PRO,0,675,3,0,0,0,3,ANTI,2,SD
13,109,SR,PRO,0,520,3,0,0,0,3,ANTI,2,SD
14,109,SR,PRO,0,436,3,0,0,0,3,ANTI,2,SD
15,109,SR,PRO,0,530,3,0,0,0,3,ANTI,2,SD
16,109,SR,PRO,0,1026,3,0,0,0,3,ANTI,2,SD
1,109,SR,ANTI,0,1422,4,1,NaN,NaN,NaN,ANTI,2,SD
2,109,SR,ANTI,0,565,3,0,0,1,4,ANTI,2,SD
3,109,SR,ANTI,0,538,3,0,0,0,3,ANTI,2,SD
4,109,SR,ANTI,0,684,3,0,0,0,3,ANTI,2,SD
5,109,SR,ANTI,0,532,3,0,0,0,3,ANTI,2,SD
6,109,SR,ANTI,0,547,3,0,0,0,3,ANTI,2,SD
7,109,SR,ANTI,0,1125,3,0,0,0,3,ANTI,2,SD
8,109,SR,ANTI,0,336,3,0,0,0,3,ANTI,2,SD
9,109,SR,ANTI,0,405,3,0,0,0,3,ANTI,2,SD
10,109,SR,ANTI,0,587,3,0,0,0,3,ANTI,2,SD
11,109,SR,ANTI,0,573,3,0,0,0,3,ANTI,2,SD
12,109,SR,ANTI,0,673,3,0,0,0,3,ANTI,2,SD
13,109,SR,ANTI,0,434,3,0,0,0,3,ANTI,2,SD
14,109,SR,ANTI,0,697,3,0,0,0,3,ANTI,2,SD
15,109,SR,ANTI,0,541,3,0,0,0,3,ANTI,2,SD
16,109,SR,ANTI,0,451,3,0,0,0,3,ANTI,2,SD
1,109,SD,PRO,0,1374,3,0,NaN,NaN,NaN,PRO,2,SD
2,109,SD,PRO,0,789,3,0,0,0,3,PRO,2,SD
3,109,SD,PRO,0,1109,3,0,0,0,3,PRO,2,SD
4,109,SD,PRO,0,744,3,0,0,0,3,PRO,2,SD
5,109,SD,PRO,0,894,3,0,0,0,3,PRO,2,SD
6,109,SD,PRO,0,798,3,0,0,0,3,PRO,2,SD
7,109,SD,PRO,0,1092,3,0,0,0,3,PRO,2,SD
8,109,SD,PRO,0,629,3,0,0,0,3,PRO,2,SD
9,109,SD,PRO,0,879,3,0,0,0,3,PRO,2,SD
10,109,SD,PRO,0,599,3,0,0,0,3,PRO,2,SD
11,109,SD,PRO,0,2109,3,0,0,0,3,PRO,2,SD
12,109,SD,PRO,0,711,3,0,0,0,3,PRO,2,SD
13,109,SD,PRO,0,788,3,0,0,0,3,PRO,2,SD
14,109,SD,PRO,0,570,3,0,0,0,3,PRO,2,SD
15,109,SD,PRO,0,669,3,0,0,0,3,PRO,2,SD
16,109,SD,PRO,0,492,3,0,0,0,3,PRO,2,SD
1,109,SD,ANTI,0,650,4,1,NaN,NaN,NaN,PRO,2,SD
2,109,SD,ANTI,0,1853,3,0,0,1,4,PRO,2,SD
3,109,SD,ANTI,0,1732,3,0,0,0,3,PRO,2,SD
4,109,SD,ANTI,0,1375,3,0,0,0,3,PRO,2,SD
5,109,SD,ANTI,0,993,3,0,0,0,3,PRO,2,SD
6,109,SD,ANTI,0,761,3,0,0,0,3,PRO,2,SD
7,109,SD,ANTI,0,928,3,0,0,0,3,PRO,2,SD
8,109,SD,ANTI,0,601,3,0,0,0,3,PRO,2,SD
9,109,SD,ANTI,0,776,3,0,0,0,3,PRO,2,SD
10,109,SD,ANTI,0,1116,3,0,0,0,3,PRO,2,SD
11,109,SD,ANTI,0,820,3,0,0,0,3,PRO,2,SD
12,109,SD,ANTI,0,708,3,0,0,0,3,PRO,2,SD
13,109,SD,ANTI,0,1088,3,0,0,0,3,PRO,2,SD
14,109,SD,ANTI,0,602,3,0,0,0,3,PRO,2,SD
15,109,SD,ANTI,0,1034,3,0,0,0,3,PRO,2,SD
16,109,SD,ANTI,0,914,3,0,0,0,3,PRO,2,SD
1,110,SR,PRO,0,4948,3,0,NaN,NaN,NaN,PRO,1,SR
2,110,SR,PRO,0,1507,3,0,0,0,3,PRO,1,SR
3,110,SR,PRO,0,1558,3,0,0,0,3,PRO,1,SR
4,110,SR,PRO,0,3194,3,0,0,0,3,PRO,1,SR
5,110,SR,PRO,0,1299,3,0,0,0,3,PRO,1,SR
6,110,SR,PRO,0,664,3,0,0,0,3,PRO,1,SR
7,110,SR,PRO,0,781,3,0,0,0,3,PRO,1,SR
8,110,SR,PRO,0,2091,3,0,0,0,3,PRO,1,SR
9,110,SR,PRO,0,1404,3,0,0,0,3,PRO,1,SR
10,110,SR,PRO,0,799,3,0,0,0,3,PRO,1,SR
11,110,SR,PRO,0,971,3,0,0,0,3,PRO,1,SR
12,110,SR,PRO,0,683,3,0,0,0,3,PRO,1,SR
13,110,SR,PRO,0,840,3,0,0,0,3,PRO,1,SR
14,110,SR,PRO,0,866,3,0,0,0,3,PRO,1,SR
15,110,SR,PRO,0,741,3,0,0,0,3,PRO,1,SR
16,110,SR,PRO,0,932,3,0,0,0,3,PRO,1,SR
1,110,SR,ANTI,0,1782,4,1,NaN,NaN,NaN,PRO,1,SR
2,110,SR,ANTI,0,619,3,0,0,1,4,PRO,1,SR
3,110,SR,ANTI,0,682,3,0,0,0,3,PRO,1,SR
4,110,SR,ANTI,0,742,3,0,0,0,3,PRO,1,SR
5,110,SR,ANTI,0,1352,3,0,0,0,3,PRO,1,SR
6,110,SR,ANTI,0,662,3,0,0,0,3,PRO,1,SR
7,110,SR,ANTI,0,1153,3,0,0,0,3,PRO,1,SR
8,110,SR,ANTI,0,1661,3,0,0,0,3,PRO,1,SR
9,110,SR,ANTI,0,629,3,0,0,0,3,PRO,1,SR
10,110,SR,ANTI,0,1205,3,0,0,0,3,PRO,1,SR
11,110,SR,ANTI,0,733,3,0,0,0,3,PRO,1,SR
12,110,SR,ANTI,0,1225,3,0,0,0,3,PRO,1,SR
13,110,SR,ANTI,0,525,3,0,0,0,3,PRO,1,SR
14,110,SR,ANTI,0,782,3,0,0,0,3,PRO,1,SR
15,110,SR,ANTI,0,1048,3,0,0,0,3,PRO,1,SR
16,110,SR,ANTI,0,660,3,0,0,0,3,PRO,1,SR
1,110,SD,PRO,0,1922,3,0,NaN,NaN,NaN,ANTI,1,SR
2,110,SD,PRO,0,585,3,0,0,0,3,ANTI,1,SR
3,110,SD,PRO,0,812,3,0,0,0,3,ANTI,1,SR
4,110,SD,PRO,0,890,3,0,0,0,3,ANTI,1,SR
5,110,SD,PRO,0,669,3,0,0,0,3,ANTI,1,SR
6,110,SD,PRO,0,929,3,0,0,0,3,ANTI,1,SR
7,110,SD,PRO,0,487,3,0,0,0,3,ANTI,1,SR
8,110,SD,PRO,0,502,3,0,0,0,3,ANTI,1,SR
9,110,SD,PRO,0,504,3,0,0,0,3,ANTI,1,SR
10,110,SD,PRO,0,622,3,0,0,0,3,ANTI,1,SR
11,110,SD,PRO,0,3428,3,0,0,0,3,ANTI,1,SR
12,110,SD,PRO,0,956,3,0,0,0,3,ANTI,1,SR
13,110,SD,PRO,0,691,3,0,0,0,3,ANTI,1,SR
14,110,SD,PRO,0,606,3,0,0,0,3,ANTI,1,SR
15,110,SD,PRO,0,1273,3,0,0,0,3,ANTI,1,SR
16,110,SD,PRO,0,1918,3,0,0,0,3,ANTI,1,SR
1,110,SD,ANTI,0,1393,4,1,NaN,NaN,NaN,ANTI,1,SR
2,110,SD,ANTI,0,588,3,0,0,1,4,ANTI,1,SR
3,110,SD,ANTI,0,756,3,0,0,0,3,ANTI,1,SR
4,110,SD,ANTI,0,639,3,0,0,0,3,ANTI,1,SR
5,110,SD,ANTI,0,709,3,0,0,0,3,ANTI,1,SR
6,110,SD,ANTI,0,1057,3,0,0,0,3,ANTI,1,SR
7,110,SD,ANTI,0,659,3,0,0,0,3,ANTI,1,SR
8,110,SD,ANTI,0,844,3,0,0,0,3,ANTI,1,SR
9,110,SD,ANTI,0,1024,3,0,0,0,3,ANTI,1,SR
10,110,SD,ANTI,0,1019,3,0,0,0,3,ANTI,1,SR
11,110,SD,ANTI,0,1258,3,0,0,0,3,ANTI,1,SR
12,110,SD,ANTI,0,748,3,0,0,0,3,ANTI,1,SR
13,110,SD,ANTI,0,720,3,0,0,0,3,ANTI,1,SR
14,110,SD,ANTI,0,753,3,0,0,0,3,ANTI,1,SR
15,110,SD,ANTI,0,935,3,0,0,0,3,ANTI,1,SR
16,110,SD,ANTI,0,5257,3,0,0,0,3,ANTI,1,SR
1,112,SR,PRO,0,2304,3,0,NaN,NaN,NaN,ANTI,1,SR
2,112,SR,PRO,0,1316,3,0,0,0,3,ANTI,1,SR
3,112,SR,PRO,0,1491,3,0,0,0,3,ANTI,1,SR
4,112,SR,PRO,0,573,3,0,0,0,3,ANTI,1,SR
5,112,SR,PRO,0,539,3,0,0,0,3,ANTI,1,SR
6,112,SR,PRO,0,387,3,0,0,0,3,ANTI,1,SR
7,112,SR,PRO,0,368,3,0,0,0,3,ANTI,1,SR
8,112,SR,PRO,0,476,3,0,0,0,3,ANTI,1,SR
9,112,SR,PRO,0,450,3,0,0,0,3,ANTI,1,SR
10,112,SR,PRO,0,469,3,0,0,0,3,ANTI,1,SR
11,112,SR,PRO,0,643,3,0,0,0,3,ANTI,1,SR
12,112,SR,PRO,0,844,3,0,0,0,3,ANTI,1,SR
13,112,SR,PRO,0,499,3,0,0,0,3,ANTI,1,SR
14,112,SR,PRO,0,450,3,0,0,0,3,ANTI,1,SR
15,112,SR,PRO,0,824,3,0,0,0,3,ANTI,1,SR
16,112,SR,PRO,0,836,3,0,0,0,3,ANTI,1,SR
1,112,SR,ANTI,0,2407,4,1,NaN,NaN,NaN,ANTI,1,SR
2,112,SR,ANTI,1,2924,2,1,0,1,4,ANTI,1,SR
3,112,SR,ANTI,1,894,1,0,1,1,2,ANTI,1,SR
4,112,SR,ANTI,0,759,4,1,1,0,1,ANTI,1,SR
5,112,SR,ANTI,0,2086,3,0,0,1,4,ANTI,1,SR
6,112,SR,ANTI,0,632,3,0,0,0,3,ANTI,1,SR
7,112,SR,ANTI,0,317,3,0,0,0,3,ANTI,1,SR
8,112,SR,ANTI,0,454,3,0,0,0,3,ANTI,1,SR
9,112,SR,ANTI,0,445,3,0,0,0,3,ANTI,1,SR
10,112,SR,ANTI,0,432,3,0,0,0,3,ANTI,1,SR
11,112,SR,ANTI,0,566,3,0,0,0,3,ANTI,1,SR
12,112,SR,ANTI,0,443,3,0,0,0,3,ANTI,1,SR
13,112,SR,ANTI,0,1390,3,0,0,0,3,ANTI,1,SR
14,112,SR,ANTI,0,816,3,0,0,0,3,ANTI,1,SR
15,112,SR,ANTI,0,792,3,0,0,0,3,ANTI,1,SR
16,112,SR,ANTI,0,1027,3,0,0,0,3,ANTI,1,SR
1,112,SD,PRO,1,0,1,0,NaN,NaN,NaN,PRO,1,SR
2,112,SD,PRO,0,4026,3,0,1,0,1,PRO,1,SR
3,112,SD,PRO,0,711,3,0,0,0,3,PRO,1,SR
4,112,SD,PRO,0,547,3,0,0,0,3,PRO,1,SR
5,112,SD,PRO,0,1046,3,0,0,0,3,PRO,1,SR
6,112,SD,PRO,0,778,3,0,0,0,3,PRO,1,SR
7,112,SD,PRO,0,420,3,0,0,0,3,PRO,1,SR
8,112,SD,PRO,0,749,3,0,0,0,3,PRO,1,SR
9,112,SD,PRO,0,457,3,0,0,0,3,PRO,1,SR
10,112,SD,PRO,0,887,3,0,0,0,3,PRO,1,SR
11,112,SD,PRO,0,625,3,0,0,0,3,PRO,1,SR
12,112,SD,PRO,0,530,3,0,0,0,3,PRO,1,SR
13,112,SD,PRO,0,870,3,0,0,0,3,PRO,1,SR
14,112,SD,PRO,0,429,3,0,0,0,3,PRO,1,SR
15,112,SD,PRO,0,301,3,0,0,0,3,PRO,1,SR
16,112,SD,PRO,0,1821,3,0,0,0,3,PRO,1,SR
1,112,SD,ANTI,0,2214,4,1,NaN,NaN,NaN,PRO,1,SR
2,112,SD,ANTI,0,834,4,1,0,1,4,PRO,1,SR
3,112,SD,ANTI,1,485,1,0,0,1,4,PRO,1,SR
4,112,SD,ANTI,0,572,3,0,1,0,1,PRO,1,SR
5,112,SD,ANTI,0,528,3,0,0,0,3,PRO,1,SR
6,112,SD,ANTI,0,454,3,0,0,0,3,PRO,1,SR
7,112,SD,ANTI,0,5722,3,0,0,0,3,PRO,1,SR
8,112,SD,ANTI,0,476,3,0,0,0,3,PRO,1,SR
9,112,SD,ANTI,0,596,3,0,0,0,3,PRO,1,SR
10,112,SD,ANTI,0,592,3,0,0,0,3,PRO,1,SR
11,112,SD,ANTI,0,2036,3,0,0,0,3,PRO,1,SR
12,112,SD,ANTI,0,895,3,0,0,0,3,PRO,1,SR
